transaction_id,transaction_ts,branch_id,customer_id,from_currency,to_currency,from_amount,exchange_rate,to_amount,commission_fee,payment_method,channel,status,ingestion_timestamp
TXN100000,2026-02-14 14:39:29,BR100,CUST1034,INR,JPY,150888.66,0.568703,265320.8,90.62,upi,branch,COMPLETED,2026-03-01 10:00:00
TXN100001,2026-02-20 08:02:54,BR104,CUST1004,INR,CAD,172488.39,74.056243,2329.15,206.45,card,branch,COMPLETED,2026-03-01 10:00:00
TXN100002,2026-02-19 15:12:47,BR101,CUST1008,INR,CAD,65714.56,27.601825,2380.8,183.0,upi,mobile,COMPLETED,2026-03-01 10:00:00
TXN100003,2026-02-20 06:11:33,BR100,CUST1020,SGD,INR,2554.9,61.589216,157354.29,91.9,upi,mobile,COMPLETED,2026-03-01 10:00:00
TXN100004,2026-02-19 05:24:14,BR102,CUST1027,INR,THB,80891.08,44.644978,1811.87,113.92,bank_transfer,mobile,COMPLETED,2026-03-01 10:00:00
TXN100005,2026-02-04 13:38:29,BR104,CUST1005,INR,GBP,187517.27,106.513912,1760.5,169.19,bank_transfer,branch,COMPLETED,2026-03-01 10:00:00
TXN100006,2026-02-06 04:08:26,BR100,CUST1005,INR,CHF,34535.54,28.729723,1202.08,148.82,bank_transfer,online,COMPLETED,2026-03-01 10:00:00
TXN100007,2026-02-21 22:07:39,BR106,CUST1028,INR,AED,32335.42,22.989761,1406.51,183.15,cash,branch,COMPLETED,2026-03-01 10:00:00
TXN100008,2026-02-16 17:59:19,BR100,CUST1024,INR,EUR,183962.52,91.592485,2008.49,157.51,bank_transfer,online,PENDING,2026-03-01 10:00:00
TXN100009,2026-02-12 18:48:55,BR102,CUST1036,INR,CHF,82271.5,69.312394,1186.97,124.24,bank_transfer,mobile,COMPLETED,2026-03-01 10:00:00
TXN100010,2026-02-04 01:42:41,BR106,CUST1010,INR,EUR,96669.98,92.219138,1048.26,152.93,bank_transfer,online,COMPLETED,2026-03-01 10:00:00
